Module,Layer,Class,Method,ReturnType,Parameters,CalledBy,CallsTo,HttpMethod,Endpoint,DatabaseOperation,QualityLabel
Consultation,Frontend,ConsultationService,UpdateConsultationAsync,Task<ServiceResult<ConsultationDto>>,Guid,ConsultationViewModel.SaveDiagnosisCommand,ConsultationController.Update,PUT,/api/v1/consultations/{id},N/A,🟢Core
Consultation,Backend,ConsultationController,Create,Task<ActionResult<ApiResponse<ConsultationDto>>>,ConsultationCreateDto,ConsultationService.CreateConsultationAsync,ConsultationBusinessService.CreateConsultationAsync,POST,/api/v1/consultations,N/A,🟢Core
Consultation,Backend,ConsultationController,Update,Task<ActionResult<ApiResponse<ConsultationDto>>>,Guid,ConsultationService.UpdateConsultationAsync,ConsultationBusinessService.UpdateConsultationAsync,PUT,/api/v1/consultations/{id},N/A,🟢Core
Consultation,Backend,ConsultationBusinessService,CreateConsultationAsync,Task<ServiceResult<ConsultationDto>>,ConsultationCreateDto,ConsultationController.Create,ConsultationRepository.CreateAsync,N/A,N/A,INSERT Consultations,🟢Core
Consultation,Backend,ConsultationBusinessService,UpdateConsultationAsync,Task<ServiceResult<ConsultationDto>>,Guid,ConsultationController.Update,ConsultationRepository.UpdateAsync,N/A,N/A,UPDATE Consultations,🟢Core
Consultation,Backend,ConsultationRepository,CreateAsync,Task<Consultation>,Consultation,ConsultationBusinessService.CreateConsultationAsync,AppDbContext.Consultations.Add,N/A,N/A,INSERT INTO Consultations,🟢Core
Consultation,Backend,ConsultationRepository,UpdateAsync,Task<Consultation>,Consultation,ConsultationBusinessService.UpdateConsultationAsync,AppDbContext.Consultations.Update,N/A,N/A,UPDATE Consultations SET,🟢Core

Prescriptions,Frontend,PrescriptionView,InitializeComponent,void,,PrescriptionView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Prescriptions,Frontend,PrescriptionViewModel,CreatePrescriptionCommand,AsyncRelayCommand,,PrescriptionView.CommandBinding,PrescriptionService.CreatePrescriptionAsync,N/A,N/A,N/A,🟢Core
Prescriptions,Frontend,PrescriptionViewModel,AddHerbCommand,AsyncRelayCommand,,PrescriptionView.CommandBinding,HerbService.GetHerbByIdAsync,N/A,N/A,N/A,🟢Core
Prescriptions,Frontend,PrescriptionViewModel,ApplyFormulaCommand,AsyncRelayCommand,,PrescriptionView.CommandBinding,FormulaService.GetFormulaByIdAsync,N/A,N/A,N/A,🔵Business
Prescriptions,Frontend,PrescriptionService,CreatePrescriptionAsync,Task<ServiceResult<PrescriptionDto>>,PrescriptionCreateDto,PrescriptionViewModel.CreatePrescriptionCommand,PrescriptionsController.Create,POST,/api/v1/prescriptions,N/A,🟢Core
Prescriptions,Frontend,PrescriptionService,GetPrescriptionsByPatientAsync,Task<ServiceResult<List<PrescriptionDto>>>,Guid,PrescriptionViewModel.LoadPrescriptionsCommand,PrescriptionsController.GetByPatient,GET,/api/v1/prescriptions/patient/{patientId},N/A,🟢Core
Prescriptions,Backend,PrescriptionsController,Create,Task<ActionResult<ApiResponse<PrescriptionDto>>>,PrescriptionCreateDto,PrescriptionService.CreatePrescriptionAsync,PrescriptionBusinessService.CreateAsync,POST,/api/v1/prescriptions,N/A,🟢Core
Prescriptions,Backend,PrescriptionsController,GetByPatient,Task<ActionResult<ApiResponse<List<PrescriptionDto>>>>,Guid,PrescriptionService.GetPrescriptionsByPatientAsync,PrescriptionQueryService.GetByPatientIdAsync,GET,/api/v1/prescriptions/patient/{patientId},N/A,🟢Core
Prescriptions,Backend,PrescriptionBusinessService,CreateAsync,Task<ServiceResult<PrescriptionDto>>,PrescriptionCreateDto,PrescriptionsController.Create,PrescriptionRepository.CreateAsync,N/A,N/A,INSERT Prescriptions,🟢Core
Prescriptions,Backend,PrescriptionQueryService,GetByPatientIdAsync,Task<ServiceResult<List<PrescriptionDto>>>,Guid,PrescriptionsController.GetByPatient,PrescriptionRepository.GetByPatientIdAsync,N/A,N/A,SELECT Prescriptions,🟢Core
Prescriptions,Backend,PrescriptionRepository,CreateAsync,Task<Prescription>,Prescription,PrescriptionBusinessService.CreateAsync,AppDbContext.Prescriptions.Add,N/A,N/A,INSERT INTO Prescriptions,🟢Core
Prescriptions,Backend,PrescriptionRepository,GetByPatientIdAsync,Task<List<Prescription>>,Guid,PrescriptionQueryService.GetByPatientIdAsync,AppDbContext.Prescriptions,N/A,N/A,SELECT Prescriptions WHERE PatientId,🟢Core

Herbs,Frontend,HerbManagementView,InitializeComponent,void,,HerbManagementView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Herbs,Frontend,HerbManagementViewModel,LoadHerbsCommand,AsyncRelayCommand,,HerbManagementView.CommandBinding,HerbService.GetAllHerbsAsync,N/A,N/A,N/A,🟢Core
Herbs,Frontend,HerbManagementViewModel,SearchHerbsCommand,AsyncRelayCommand,,HerbManagementView.CommandBinding,HerbService.SearchHerbsAsync,N/A,N/A,N/A,🟢Core
Herbs,Frontend,HerbManagementViewModel,CreateHerbCommand,AsyncRelayCommand,,HerbManagementView.CommandBinding,HerbService.CreateHerbAsync,N/A,N/A,N/A,🟢Core
Herbs,Frontend,HerbService,GetAllHerbsAsync,Task<ServiceResult<List<HerbDto>>>,,HerbManagementViewModel.LoadHerbsCommand,HerbsController.GetAll,GET,/api/v1/herbs,N/A,🟢Core
Herbs,Frontend,HerbService,SearchHerbsAsync,Task<ServiceResult<PagedResult<HerbDto>>>,HerbSearchDto,HerbManagementViewModel.SearchHerbsCommand,HerbsController.Search,GET,/api/v1/herbs/search,N/A,🟢Core
Herbs,Frontend,HerbService,CreateHerbAsync,Task<ServiceResult<HerbDto>>,HerbCreateDto,HerbManagementViewModel.CreateHerbCommand,HerbsController.Create,POST,/api/v1/herbs,N/A,🟢Core
Herbs,Backend,HerbsController,GetAll,Task<ActionResult<ApiResponse<List<HerbDto>>>>,,HerbService.GetAllHerbsAsync,HerbQueryService.GetAllAsync,GET,/api/v1/herbs,N/A,🟢Core
Herbs,Backend,HerbsController,Search,Task<ActionResult<ApiResponse<PagedResult<HerbDto>>>>,HerbSearchDto,HerbService.SearchHerbsAsync,HerbQueryService.SearchHerbsAsync,GET,/api/v1/herbs/search,N/A,🟢Core
Herbs,Backend,HerbsController,Create,Task<ActionResult<ApiResponse<HerbDto>>>,HerbCreateDto,HerbService.CreateHerbAsync,HerbBusinessService.CreateHerbAsync,POST,/api/v1/herbs,N/A,🟢Core
Herbs,Backend,HerbQueryService,GetAllAsync,Task<ServiceResult<List<HerbDto>>>,,HerbsController.GetAll,HerbRepository.GetAllAsync,N/A,N/A,SELECT Herbs,🟢Core
Herbs,Backend,HerbQueryService,SearchHerbsAsync,Task<ServiceResult<PagedResult<HerbDto>>>,HerbSearchDto,HerbsController.Search,HerbRepository.SearchAsync,N/A,N/A,SELECT Herbs,🟢Core
Herbs,Backend,HerbBusinessService,CreateHerbAsync,Task<ServiceResult<HerbDto>>,HerbCreateDto,HerbsController.Create,HerbRepository.CreateAsync,N/A,N/A,INSERT Herbs,🟢Core
Herbs,Backend,HerbRepository,GetAllAsync,Task<List<Herb>>,,HerbQueryService.GetAllAsync,AppDbContext.Herbs,N/A,N/A,SELECT * FROM Herbs,🟢Core
Herbs,Backend,HerbRepository,SearchAsync,Task<PagedResult<Herb>>,HerbSearchDto,HerbQueryService.SearchHerbsAsync,AppDbContext.Herbs,N/A,N/A,SELECT Herbs WHERE criteria,🟢Core
Herbs,Backend,HerbRepository,CreateAsync,Task<Herb>,Herb,HerbBusinessService.CreateHerbAsync,AppDbContext.Herbs.Add,N/A,N/A,INSERT INTO Herbs,🟢Core

Formula,Frontend,FormulaManagementView,InitializeComponent,void,,FormulaManagementView.Constructor,N/A,N/A,N/A,N/A,🔵Business
Formula,Frontend,FormulaManagementViewModel,LoadFormulasCommand,AsyncRelayCommand,,FormulaManagementView.CommandBinding,FormulaService.GetAllFormulasAsync,N/A,N/A,N/A,🔵Business
Formula,Frontend,FormulaManagementViewModel,CreateFormulaCommand,AsyncRelayCommand,,FormulaManagementView.CommandBinding,FormulaService.CreateFormulaAsync,N/A,N/A,N/A,🔵Business
Formula,Frontend,FormulaManagementViewModel,EditFormulaCommand,AsyncRelayCommand,,FormulaManagementView.CommandBinding,FormulaService.UpdateFormulaAsync,N/A,N/A,N/A,🔵Business
Formula,Frontend,FormulaService,GetAllFormulasAsync,Task<ServiceResult<List<FormulaDto>>>,,FormulaManagementViewModel.LoadFormulasCommand,FormulasController.GetAll,GET,/api/v1/formulas,N/A,🔵Business
Formula,Frontend,FormulaService,CreateFormulaAsync,Task<ServiceResult<FormulaDto>>,FormulaCreateDto,FormulaManagementViewModel.CreateFormulaCommand,FormulasController.Create,POST,/api/v1/formulas,N/A,🔵Business
Formula,Frontend,FormulaService,UpdateFormulaAsync,Task<ServiceResult<FormulaDto>>,Guid,FormulaManagementViewModel.EditFormulaCommand,FormulasController.Update,PUT,/api/v1/formulas/{id},N/A,🔵Business
Formula,Backend,FormulasController,GetAll,Task<ActionResult<ApiResponse<List<FormulaDto>>>>,,FormulaService.GetAllFormulasAsync,FormulaQueryService.GetAllAsync,GET,/api/v1/formulas,N/A,🔵Business
Formula,Backend,FormulasController,Create,Task<ActionResult<ApiResponse<FormulaDto>>>,FormulaCreateDto,FormulaService.CreateFormulaAsync,FormulaBusinessService.CreateAsync,POST,/api/v1/formulas,N/A,🔵Business
Formula,Backend,FormulasController,Update,Task<ActionResult<ApiResponse<FormulaDto>>>,Guid,FormulaService.UpdateFormulaAsync,FormulaBusinessService.UpdateAsync,PUT,/api/v1/formulas/{id},N/A,🔵Business
Formula,Backend,FormulaQueryService,GetAllAsync,Task<ServiceResult<List<FormulaDto>>>,,FormulasController.GetAll,FormulaRepository.GetAllAsync,N/A,N/A,SELECT Formulas,🔵Business
Formula,Backend,FormulaBusinessService,CreateAsync,Task<ServiceResult<FormulaDto>>,FormulaCreateDto,FormulasController.Create,FormulaRepository.CreateAsync,N/A,N/A,INSERT Formulas,🔵Business
Formula,Backend,FormulaBusinessService,UpdateAsync,Task<ServiceResult<FormulaDto>>,Guid,FormulasController.Update,FormulaRepository.UpdateAsync,N/A,N/A,UPDATE Formulas,🔵Business
Formula,Backend,FormulaRepository,GetAllAsync,Task<List<Formula>>,,FormulaQueryService.GetAllAsync,AppDbContext.Formulas,N/A,N/A,SELECT * FROM Formulas,🔵Business
Formula,Backend,FormulaRepository,CreateAsync,Task<Formula>,Formula,FormulaBusinessService.CreateAsync,AppDbContext.Formulas.Add,N/A,N/A,INSERT INTO Formulas,🔵Business
Formula,Backend,FormulaRepository,UpdateAsync,Task<Formula>,Formula,FormulaBusinessService.UpdateAsync,AppDbContext.Formulas.Update,N/A,N/A,UPDATE Formulas SET,🔵Business

Shared,Backend,BaseController,HandleServiceResult,ActionResult<ApiResponse<T>>,ServiceResult<T>,All Controllers,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,BaseController,HandleException,ActionResult<ApiResponse<T>>,Exception,All Controllers,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,BaseController,ValidateGuid,ActionResult<ApiResponse<T>>,Guid,All Controllers,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,ApiResponse,Success,ApiResponse<T>,T,BaseController.HandleServiceResult,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,ServiceResult,Success,ServiceResult<T>,T,All Service Methods,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,ServiceResult,Failure,ServiceResult<T>,string,All Service Methods,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,SaveChangesAsync,Task<int>,,All Repository Methods,Database,N/A,N/A,COMMIT TRANSACTION,🟢Core
Shared,Backend,AppDbContext,Users,DbSet<User>,,UserRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,Patients,DbSet<Patient>,,PatientRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,MedicalCases,DbSet<MedicalCase>,,MedicalCaseRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,Consultations,DbSet<Consultation>,,ConsultationRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,Prescriptions,DbSet<Prescription>,,PrescriptionRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,Herbs,DbSet<Herb>,,HerbRepository,N/A,N/A,N/A,N/A,🟢Core
Shared,Backend,AppDbContext,Formulas,DbSet<Formula>,,FormulaRepository,N/A,N/A,N/A,N/A,🟢Core

Infrastructure,Backend,TokenService,GenerateToken,string,User,AuthBusinessService,N/A,N/A,N/A,N/A,🟢Core
Infrastructure,Backend,TokenService,ValidateToken,ClaimsPrincipal,string,AuthorizeAttribute,N/A,N/A,N/A,N/A,🟢Core
Infrastructure,Backend,PasswordService,HashPassword,string,string,UserBusinessService,N/A,N/A,N/A,N/A,🟢Core
Infrastructure,Backend,PasswordService,VerifyPassword,bool,string,AuthBusinessService,N/A,N/A,N/A,N/A,🟢Core
Infrastructure,Backend,CacheService,GetAsync,Task<T>,string,All Query Services,MemoryCache,N/A,N/A,N/A,🟢Core
Infrastructure,Backend,CacheService,SetAsync,Task,string,All Query Services,MemoryCache,N/A,N/A,N/A,🟢Core

Navigation,Frontend,NavigationService,NavigateToAsync,Task,string,All ViewModels,Prism.NavigationService,N/A,N/A,N/A,🟢Core
Navigation,Frontend,RegionManager,RequestNavigate,void,string,All ViewModels,Prism.RegionManager,N/A,N/A,N/A,🟢Core
Dialog,Frontend,DialogService,ShowMessageAsync,Task<MessageDialogResult>,string,All ViewModels,Prism.DialogService,N/A,N/A,N/A,🟢Core
Dialog,Frontend,DialogService,ShowConfirmationAsync,Task<bool>,string,All ViewModels,Prism.DialogService,N/A,N/A,N/A,🟢Core

Health,Backend,HealthController,CheckHealth,Task<IActionResult>,,Health Check Endpoint,HealthCheckService,GET,/health,SELECT 1,🟢Core
Health,Backend,HealthController,CheckDatabase,Task<IActionResult>,,Health Check Endpoint,DbContextHealthCheck,GET,/health/database,SELECT 1,🟢Core
Health,Backend,HealthController,CheckCache,Task<IActionResult>,,Health Check Endpoint,MemoryCacheHealthCheck,GET,/health/cache,N/A,🟢Core
