Method,Path,Status,Controller,Authorization,PostmanFolder,Notes
PUT,/api/v1/medicalcases/{id}/print-completed,MATCHED,MedicalCasePrintController,DoctorOrAdmin,7. Medical Case Print,
POST,/api/v1/medicalcases/{id}/print-logs,MATCHED,MedicalCasePrintController,DoctorOrAdmin,7. Medical Case Print,
GET,/api/v1/medicalcases/{id}/permissions,MATCHED,MedicalCaseAuditController,DoctorOrAdmin,6. Medical Case Audit,
GET,/api/v1/medicalcases/{id}/audit-logs,MATCHED,MedicalCaseAuditController,DoctorOrAdmin,6. Medical Case Audit,
POST,/api/v1/registrations/quick-visit,MATCHED,RegistrationsController,DoctorOrAdmin,11. Registrations,
POST,/api/v1/registrations,MATCHED,RegistrationsController,PatientAccess,11. Registrations,
GET,/api/v1/registrations/{id},MATCHED,RegistrationsController,PatientAccess,11. Registrations,
GET,/api/v1/registrations,MATCHED,RegistrationsController,PatientAccess,11. Registrations,
GET,/api/v1/registrations/queue,MATCHED,RegistrationsController,PatientAccess,11. Registrations,
PUT,/api/v1/registrations/{id}/start-visit,MATCHED,RegistrationsController,DoctorOrAdmin,11. Registrations,
PUT,/api/v1/registrations/{id}/cancel,MATCHED,RegistrationsController,PatientAccess,11. Registrations,
GET,/api/v1/sync/entity-types,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
GET,/api/v1/sync/metadata,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
POST,/api/v1/sync/compare,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
POST,/api/v1/sync/upload,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
POST,/api/v1/sync/download,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
POST,/api/v1/sync/delete,MATCHED,SyncController,DoctorOrAdmin,10. Sync,
GET,/api/v1/diagnostics/logging/status,MATCHED,DiagnosticsController,SuperAdmin,12. Diagnostics,
POST,/api/v1/diagnostics/logging/debug/enable,MATCHED,DiagnosticsController,SuperAdmin,12. Diagnostics,
POST,/api/v1/diagnostics/logging/debug/disable,MATCHED,DiagnosticsController,SuperAdmin,12. Diagnostics,
POST,/api/v1/diagnostics/logging/level,MATCHED,DiagnosticsController,SuperAdmin,12. Diagnostics,
GET,/api/v1/health,MATCHED,HealthController,AllowAnonymous,13. Health,
GET,/api/v1/health/ping,MATCHED,HealthController,AllowAnonymous,13. Health,
GET,/api/v1/health/details,MATCHED,HealthController,Authorize,13. Health,
