ProjectName,Type,Path,TargetFramework,HasWebAPI,HasWPF,HasDbContext,HasDTOs,IsIntegrationTest,IsCore,ProjectRefsCount,PackageRefsCount
LYBT.Desktop.Patients,WPF,src/Client/Desktop/Modules/Patients,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.MedicalCase,WPF,src/Client/Desktop/Modules/MedicalCase,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Consultation,WPF,src/Client/Desktop/Modules/Consultation,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Prescriptions,WPF,src/Client/Desktop/Modules/Prescriptions,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Herbs,WPF,src/Client/Desktop/Modules/Herbs,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Formula,WPF,src/Client/Desktop/Modules/Formula,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Workbench.Consultation,WPF,src/Client/Desktop/Workbenches/ConsultationWorkbench,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Workbench.Admin,WPF,src/Client/Desktop/Workbenches/SystemWorkbench,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Workbench.Core,Library,src/Client/Desktop/Workbenches/Core,net8.0-windows,false,true,false,false,false,true,2,3
LYBT.Desktop.Shell,WPF,src/Client/Desktop/Shell,net8.0-windows,false,true,false,false,false,false,13,3
LYBT.Tests.Core,Test,tests/Backend/Core,net8.0,false,false,false,false,false,false,2,5
LYBT.Tests.Simplified,Test,tests/Backend/Core/Services,net8.0,false,false,false,false,false,false,3,5
LYBT.Module.Auth.Tests,Test,tests/Backend/LYBT.Module.Auth.Tests,net8.0,false,false,false,false,false,false,3,4
Enhanced.Auth.Tests,Test,tests/Backend/LYBT.Module.Auth.Tests/Enhanced,net8.0,false,false,false,false,false,false,4,4
LYBT.Module.Consultation.Tests,Test,tests/Backend/LYBT.Module.Consultation.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Module.Formula.Tests,Test,tests/Backend/LYBT.Module.Formula.Tests,net8.0,false,false,false,false,false,false,3,4
Enhanced.Tests,Test,tests/Backend/LYBT.Module.Herbs.Tests/Enhanced,net8.0,false,false,false,false,false,false,4,4
LYBT.Module.Herbs.Tests,Test,tests/Backend/LYBT.Module.Herbs.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Module.MedicalCase.Tests,Test,tests/Backend/LYBT.Module.MedicalCase.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Module.Patients.Tests,Test,tests/Backend/LYBT.Module.Patients.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Module.Prescriptions.Tests,Test,tests/Backend/LYBT.Module.Prescriptions.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Module.Users.Tests,Test,tests/Backend/LYBT.Module.Users.Tests,net8.0,false,false,false,false,false,false,3,4
LYBT.Shared.Models.Tests,Test,tests/Backend/LYBT.Shared.Models.Tests,net8.0,false,false,false,false,false,false,1,4
LYBT.Tests.Core.UltraThink,Test,tests/Backend/LYBT.Tests.Core.UltraThink,net8.0,false,false,false,false,false,false,3,4
LYBT.WebAPI.Tests,Test,tests/Backend/LYBT.WebAPI.Tests,net8.0,false,false,false,false,true,false,3,6
LYBT.Infrastructure.Tests,Test,tests/Backend/LYBT.Infrastructure.Tests,net8.0,false,false,false,false,false,false,3,6
TestBase,Test,tests/Backend/TestBase,net8.0,false,false,false,false,false,true,2,4
TestUtilities,Test,tests/Backend/TestUtilities,net8.0,false,false,false,false,false,true,1,4
LYBT.WPF.Client.Tests,Test,tests/Client/LYBT.WPF.Client.Tests,net8.0-windows,false,false,false,false,false,false,0,4
TestDataFactory,Test,tests/TestDataFactory,net8.0,false,false,false,false,false,true,2,4
LYBT.Tests.UltraThink.TestInfrastructure,Test,tests/UltraThink/TestInfrastructure,net8.0,false,false,false,false,false,true,2,4
