严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	CA1860	首选使用可用的 'IsEmpty'、'Count' 或 'Length' 属性，而不是调用 'Enumerable.Any()'。意向更清晰，其性能高于使用 'Enumerable.Any() 扩展方法。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	116	
消息(活动)	CA1860	首选使用可用的 'IsEmpty'、'Count' 或 'Length' 属性，而不是调用 'Enumerable.Any()'。意向更清晰，其性能高于使用 'Enumerable.Any() 扩展方法。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	120	
消息(活动)	CA1860	首选使用可用的 'IsEmpty'、'Count' 或 'Length' 属性，而不是调用 'Enumerable.Any()'。意向更清晰，其性能高于使用 'Enumerable.Any() 扩展方法。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	149	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	448	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	448	
消息(活动)	SYSLIB1045	使用“GeneratedRegexAttribute”在编译时生成正则表达式实现。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	463	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserService.cs	24	
消息(活动)	IDE0028	可以简化集合初始化	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserService.cs	206	
消息(活动)	IDE0028	可以简化集合初始化	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserService.cs	206	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	26	
消息(活动)	IDE0059	请避免在代码中使用不必要的值赋值，因为这些值极有可能指示冗余的值计算。如果值计算不是冗余的，并且打算保留该赋值，请将分配目标更改为名称以下划线开头或在下划线后面跟一个整数的局部变量(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	246	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	292	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	316	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	316	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Helpers\AuthSessionHelper.cs	326	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthBusinessService.cs	27	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthBusinessService.cs	228	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthBusinessService.cs	251	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthQueryService.cs	27	
消息(活动)	IDE0037	可简化成员名称	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthQueryService.cs	98	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthQueryService.cs	242	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Auth	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Auth\Services\AuthService.cs	21	
